,process,component,GWP
0,MLCA,TOTAL,1600.0
1,MLCA,MAINBOARD (excl. CPU),66.1
2,MLCA,CPU,22.0
3,MLCA,RAM,832.0
4,MLCA,SSD,380.0
5,MLCA,OTHER,302.0
6,DELL,CPU,80.44599999999998
7,DELL,MAINBOARD (excl. CPU),196.95399999999998
8,DELL,RAM,527.4
9,DELL,SSD,854.7
10,DELL,OTHER,110.69999999999999
11,DELL,TOTAL,1770.3
