model,base,min,facebook,max
BERT\textsubscript{base},0.0049,0.0015,0.016,0.2351
ELMo,0.0014,0.0004599999999999999,0.0047,0.06760000000000001
Transformer\textsubscript{base},7.900000000000001e-05,2.5000000000000005e-05,0.00026000000000000003,0.0038209999999999997
Transformer\textsubscript{big},0.00056,0.00017999999999999998,0.0018,0.02644
