model,base,min,facebook,max
BERT\textsubscript{base},0.0039,0.0011999999999999997,0.013000000000000001,0.18610000000000002
ELMo,0.0014,0.00048000000000000007,0.0045,0.0666
Transformer\textsubscript{base},7.7e-05,2.4999999999999998e-05,0.00025,0.0036230000000000004
Transformer\textsubscript{big},0.00054,0.00017,0.0018,0.025460000000000003
