model,base,min,facebook,max
BERT\textsubscript{base},24000.0,0.0,25000.0,16000.0
ELMo,3800.0,0.0,3900.0,3200.0
Transformer\textsubscript{base},360.0,0.0,370.0,160.0
Transformer\textsubscript{big},2700.0,0.0,2800.0,1100.0
