model,base,min,facebook,max
BERT\textsubscript{base},0.0048,0.0015999999999999994,0.016,0.2352
ELMo,0.0014,0.00046999999999999993,0.0046,0.06760000000000001
Transformer\textsubscript{base},7.8e-05,2.4999999999999998e-05,0.00026000000000000003,0.003822
Transformer\textsubscript{big},0.00055,0.00018000000000000004,0.0018,0.026450000000000005
