,Watts,,,,year,nm,cm²,
model,TDP,core_units,manufacturer,family,manufacture_date,process,die_size,source, comment
EPYC 7301,170,16,AMD,Naples,2017,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7301.c1926,
EPYC 7351,170,16,AMD,Naples,2017,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7351.c1925,
EPYC 7351P,170,16,AMD,Naples,2017,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7351p.c1931,
EPYC 7371,170,16,AMD,Naples,2018,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7371.c2121,
EPYC 7401,170,24,AMD,Naples,2017,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7401.c1924,
EPYC 7401P,170,24,AMD,Naples,2017,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7401p.c1930,
EPYC 7451,180,24,AMD,Naples,2017,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7451.c1923,
EPYC 7501,170,32,AMD,Naples,2017,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7501.c1922,
EPYC 7551,180,32,AMD,Naples,2017,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7551.c1921,
EPYC 7551P,180,32,AMD,Naples,2017,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7551p.c1929,
EPYC 7601,180,32,AMD,Naples,2017,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7601.c1920,
A8-7600,65,4,AMD,Kaveri,2014,28,2.45,https://www.techpowerup.com/cpu-specs/a8-7600.c2615,
A8-7680,45,4,AMD,Carrizo,2018,28,2.50,https://www.techpowerup.com/cpu-specs/a8-7680.c2120,

Ryzen 5 7600,65,6,AMD,Raphael,2023,5,1.93,https://www.techpowerup.com/cpu-specs/ryzen-5-7600.c2959,
Ryzen 7 7700,65,8,AMD,Raphael,2023,5,1.82,https://www.techpowerup.com/cpu-specs/ryzen-7-7700.c2960,
Ryzen 9 7900,65,12,AMD,Raphael,2023,5,2.66,https://www.techpowerup.com/cpu-specs/ryzen-9-7900.c2961,
Core i3-9100,65,4,Intel,Coffee Lake,2018,14,1.26,https://www.techpowerup.com/cpu-specs/core-i3-9100.c2096
Core i3-13100E,60,4,Intel,Raptor Lake-S,2023,10,2.57,https://www.techpowerup.com/cpu-specs/core-i3-13100e.c3076,
