,Watts,,,,year,nm,cm²,
model,TDP,core_units,manufacturer,family,manufacture_date,process,die_size,source, comment
,,38,Intel,Ice Lake,2021,10,6.40,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,4,Intel,Kaby Lake,2017,14,1.26,https://en.wikichip.org/wiki/intel/microarchitectures/kaby_lake
,,4,Amd,Zen2,2019,7,0.74,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,6,Amd,Zen2,2019,7,0.74,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,8,Amd,Zen2,2019,7,0.74,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,12,Amd,Zen2,2019,7,0.74,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,16,Amd,Zen2,2019,7,0.74,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,24,Amd,Zen2,2019,7,0.74,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,6,Amd,Zen3,2020,7,0.81,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,8,Amd,Zen3,2020,7,0.81,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,12,Amd,Zen3,2020,7,0.81,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,16,Amd,Zen3,2020,7,0.81,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,24,Amd,Zen3,2020,7,0.81,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,24,Amd,Zen3,2020,7,0.81,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,32,Amd,Zen3,2020,7,0.81,https://www.techarp.com/computer/amd-zen-3-tech-report/
,,64,Annapurna Labs,Graviton2,2019,7,4.57,https://en.wikichip.org/wiki/annapurna_labs/alpine/alc12b00
