index,in Watt,,,,,,,,,
model,TDP,core_units,TDP_per_core, manufacturer,family,manufacture_date,process,die_size,die_size_per_core,source
Ryzen 5 3600,65,6,10.8,AMD,Matisse,2019,12,198,,https://www.techpowerup.com/cpu-specs/
Ryzen 5 3600X,95,6,15.8,,,,,,,https://www.techpowerup.com/cpu-specs/
Ryzen 5 4500,65,6,-1,AMD,Renoir,2022,7,156,,https://www.techpowerup.com/cpu-specs/
Ryzen 5 4600G,65,6,-1,AMD,Renoir,2020,7,156,,https://www.techpowerup.com/cpu-specs/
Ryzen 5 5500,65,6,-1,AMD,Cezanne,2022,7,180,,https://www.techpowerup.com/cpu-specs/
Ryzen 5 5500U,15,6,-1,AMD,Lucienne,2021,7,156,,https://www.techpowerup.com/cpu-specs/
Ryzen 5 5600,65,6,-1,AMD,Vermeer,2022,12,205,,https://www.techpowerup.com/cpu-specs/
Ryzen 5 5600X,65,6,-1,AMD,Vermeer,2020,12,205,,https://www.techpowerup.com/cpu-specs/
Ryzen 5 5600G,65,6,-1,AMD,Cezanne,2021,7,180,,https://www.techpowerup.com/cpu-specs/
Ryzen 5 7600X,105,6,-1,AMD,Raphael,2022,12,193,,https://www.techpowerup.com/cpu-specs/
Ryzen 7 2700X,105,8,13.1,AMD,Zen,2018,12,213,,https://www.techpowerup.com/cpu-specs/
Ryzen 7 7700X,105,8,13.1,AMD,Raphael,2022,6,194.7,,https://www.techpowerup.com/cpu-specs/
Ryzen 7 3700X,65,8,8.1,AMD,Matisse,2019,12,198,,https://www.techpowerup.com/cpu-specs/
Ryzen 7 3800X,105,8,13.1,,,,,,,https://www.techpowerup.com/cpu-specs/
Ryzen 7 5700X,65,8,8.1,AMD,Vermeer,2022,12,205,,https://www.techpowerup.com/cpu-specs/
Ryzen 7 5700G,65,8,-1,AMD,Cezanne,2021,7,180,,https://www.techpowerup.com/cpu-specs/
Ryzen 7 5800X,105,8,13.1,AMD,Vermeer,2020,12,205,,https://www.techpowerup.com/cpu-specs/
Ryzen 7 5800X3D,105,8,13.1,AMD,Vermeer,2022,12,199,,https://www.techpowerup.com/cpu-specs/
Ryzen 7 7800X3D,120,8,-1,AMD,Raphael,2023,6,183,,https://www.techpowerup.com/cpu-specs/
Ryzen 9 3900X,125,12,10.4,,,,,,,https://www.techpowerup.com/cpu-specs/
Ryzen 9 3950X,105,16,6.6,,,,,,,https://www.techpowerup.com/cpu-specs/
Ryzen 9 5900X,105,12,-1,AMD,Vermeer,2020,12,205,,https://www.techpowerup.com/cpu-specs/
Ryzen 9 7940HS,35,8,-1,AMD,Phoenix,2023,4,178,,https://www.techpowerup.com/cpu-specs/
Ryzen 9 7900X,170,12,-1,AMD,Raphael,2022,6,264,,https://www.techpowerup.com/cpu-specs/
Ryzen 9 7950X,170,16,-1,AMD,Raphael,2022,6,264.7,,https://www.techpowerup.com/cpu-specs/
Ryzen 9 7950X3D,170,16,-1,AMD,Raphael,2023,6,264,,https://www.techpowerup.com/cpu-specs/
Ryzen 9 7900X3D,120,12,-1,AMD,Raphael,2023,6,264,,https://www.techpowerup.com/cpu-specs/
Ryzen Threadripper 2990WX,250,32,7.8,,,,,,,https://www.techpowerup.com/cpu-specs/
Ryzen Threadripper 3990X,280,64,4.4,,,,,,,https://www.techpowerup.com/cpu-specs/
Xeon E5-2660 v3,105,10,10.5,,,,,,,https://ark.intel.com/content/www/us/en/ark/products/81706/intel-xeon-processor-e5-2660-v3-25m-cache-2-60-ghz.html
Xeon E5-2665,115,8,14.4,,,,,,,https://ark.intel.com/content/www/us/en/ark/products/64597/intel-xeon-processor-e5-2665-20m-cache-2-40-ghz-8-00-gt-s-intel-qpi.html
Xeon E5-2666 v3,135,10,13.5,Intel,Haswell-EP,2014,22,356,,https://www.techpowerup.com/cpu-specs/
